Dataset,Owner,Requester,Status,How to Access
List of websites that TTS operates,GSA Digital Council,TTS Tech Portfolio,available via Google Sheets, Sheet 1 of this spreadsheet filtered by column C - https://docs.google.com/spreadsheets/d/1OBO6g7_OsVBv0vG8WSCI6L2FD_iRh3A7a_6eQWj2zLE/edit#gid=2013137748 
Number of agencies that use api.data.gov,api.data.gov,Solutions Leadership,available via API,https://open.gsa.gov/api/apidatagov-metrics/
List of websites using DAP,DAP,Site Scanning Program,available via static download,https://analytics.usa.gov/data/live/sites.csv
List of websites using Search.gov,Search.gov,Site Scanning program,unknown,
List of websites using Login.gov,Login.gov,Site Scanning program,unknown,
List of APIs managed by TTS,api.data.gov,data.gov,available via API,https://open.gsa.gov/api/datadotgov/
Web Traffic to TTS websites,TTS Digital Council,DAP,available via API,https://open.gsa.gov/api/dap/
